AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,0,0,0,2,0,0,-2,0,0,0,0,-4,-3,34,0,0,0,0,0,0,0,0,0,16,0,0,0,0
24,-16,0,0,-8,0,0,-2,-7,9,0,0,-15,0,0,0,25,0,0,1,0,27,0,-1,-1,0,0,-2,0
24,-16,0,0,-8,0,1,0,-7,7,0,0,-15,0,0,0,25,0,0,2,0,27,0,-1,-1,0,0,-2,0
24,-16,0,0,-8,0,0,0,-7,7,0,0,-15,0,0,0,25,0,0,1,0,27,0,-1,-1,0,0,-2,0
20,-12,0,0,-4,0,1,0,-7,7,-4,0,-10,0,0,0,22,0,0,0,0,18,0,0,0,0,0,-1,0
20,-12,0,0,-4,0,0,0,-7,7,-4,0,-10,0,0,0,22,0,0,1,0,18,0,0,0,0,0,-1,0
21,-11,0,0,-1,0,0,0,-11,0,-2,0,-7,0,0,0,20,0,0,0,0,18,0,0,0,0,0,-2,6
20,-11,0,0,-2,0,0,0,-7,0,-1,0,-10,0,0,0,21,0,0,0,0,19,0,-1,0,0,0,-3,4
20,-12,0,0,-4,0,1,0,-7,7,-4,0,-10,0,0,0,22,0,0,0,0,18,0,0,0,0,0,-1,0
24,-16,0,0,-8,0,1,0,-7,6,0,0,-15,0,0,0,25,0,0,2,0,27,0,-1,-1,0,0,-2,0
9,-11,0,0,0,0,-1,0,0,0,0,0,-4,0,0,0,0,-1,0,0,0,26,0,0,0,0,0,-10,0
19,-8,0,0,0,0,-2,0,0,0,-3,0,-1,0,0,0,21,0,0,0,0,5,0,0,0,0,0,-12,0
19,-8,0,0,0,0,-2,0,0,0,-3,0,-1,0,0,0,21,0,0,0,0,4,0,0,0,0,0,-12,0
11,-11,0,0,-3,0,0,0,-5,0,0,0,-11,0,0,0,26,0,0,0,0,26,0,0,0,0,0,-5,0
9,-11,0,0,0,0,-1,0,0,0,0,0,-4,0,0,0,0,-1,0,0,0,26,0,0,0,0,0,-10,0
0,-10,0,0,-2,0,0,0,0,0,0,0,-9,0,0,-4,24,-1,0,0,0,32,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,-9,0,0,-2,24,-1,0,0,0,32,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,-9,0,0,0,15,-1,0,0,0,32,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,-9,0,0,0,14,-1,0,0,0,32,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,-9,0,0,0,14,-1,0,0,0,32,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,-9,0,0,0,14,-1,0,0,0,32,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,31,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,30,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,30,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,32,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,29,0,0,0,0,0,-8,0
0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,-8,0
0,-10,0,0,-4,0,0,0,-3,0,0,0,0,0,0,0,13,0,0,0,0,31,0,0,0,0,0,-10,0
0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,-8,0
0,-10,0,0,-4,0,0,0,-3,0,0,0,0,0,0,0,12,0,0,0,0,31,0,0,0,0,0,-10,0
0,-10,0,0,-4,0,0,0,-3,0,0,0,0,0,0,0,13,0,0,0,0,31,0,0,0,0,0,-10,0
19,-12,0,0,0,0,0,0,-1,0,-4,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,-8,0
20,-18,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,17,0,0,4,0,25,0,-3,0,0,0,-9,0
21,-11,0,0,0,0,0,0,-1,0,-5,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,-8,0
22,-19,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,30,0,-3,0,0,0,-10,0
11,-13,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-3,0,0,0,-7,0
21,-18,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,17,0,0,1,0,26,0,-3,0,0,0,-9,0
20,-17,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,17,0,0,6,0,23,0,-2,0,0,0,-9,0
