date,code,open,high,low,close,volume,amount,turn,MACD,RSI,ADX
2021-12-21,sh.601728,4.41,4.45,4.39,4.43,126315229,558254807.32,2.8673,0.03269053502954122,68.42105263157883,28.58504531033666
2021-12-22,sh.601728,4.43,4.44,4.36,4.36,101516603,445371279.79,2.3044,0.029405561502135136,59.09090909090908,28.79878897466718
2021-12-23,sh.601728,4.36,4.38,4.35,4.35,67862700,295986917.0,1.5405,0.02570025202587889,53.65853658536576,28.747200407556786
2021-12-24,sh.601728,4.35,4.36,4.31,4.31,87025648,376478308.84,1.9755,0.019318071560466166,47.727272727272684,27.75872297098055
2021-12-27,sh.601728,4.31,4.34,4.3,4.32,61368267,265013715.64,1.393,0.01489433100487858,48.88888888888892,26.620048616205622
2021-12-28,sh.601728,4.32,4.33,4.3,4.32,45236903,194947709.52,1.0269,0.011258723698801987,47.72727272727279,25.56304313936882
2021-12-29,sh.601728,4.32,4.32,4.3,4.31,35787095,154206701.88,0.8124,0.0074852232409972075,35.13513513513524,24.58182676944379
2021-12-30,sh.601728,4.31,4.34,4.3,4.31,45510844,196612693.85,1.0331,0.0044435017959578715,31.428571428571473,24.06772103674874
2021-12-31,sh.601728,4.32,4.34,4.31,4.33,48703707,210624746.92,1.1056,0.0036036418458902375,39.39393939393947,23.59045819247266
2022-01-04,sh.601728,4.32,4.4,4.32,4.38,123273192,537585467.75,2.7983,0.006889534285907217,56.24999999999994,24.20848295851333
2022-01-05,sh.601728,4.36,4.36,4.3,4.3,145210563,627077131.69,3.2962,0.003009019587228323,43.58974358974367,24.20947687765173
2022-01-06,sh.601728,4.3,4.32,4.28,4.3,76037027,326584669.14,1.726,-6.55338052668597e-05,42.105263157894726,23.66646467766171
2022-01-07,sh.601728,4.29,4.33,4.29,4.29,73837180,317826451.48,1.6761,-0.003270745747240511,42.10526315789482,23.352640636699615
2022-01-10,sh.601728,4.29,4.34,4.29,4.32,97150111,419457556.93,2.2053,-0.0033530933220724535,35.294117647058954,23.253079611057828
